age,gender,country,job_role,seniority_level,years_experience,company_size,industry,work_mode,work_hours_per_week,meetings_per_day,team_size,sleep_hours_per_night,exercise_days_per_week,vacation_days_taken,therapy_access,uses_therapy,ai_tools_daily,manager_support_score,work_life_balance_score,job_satisfaction_score,social_support_score,deadline_pressure_score,autonomy_score,burnout_level,salary_relative
30,Male,Brazil,QA Engineer,Senior,10,Startup (1-50),AI / ML Startup,On-site,53,6.9,7,5.3,5,5,0,0,0,5.9,6.7,6.7,6.4,8.5,5.4,Severe,0.8398328228782779
22,Male,Australia,Product Manager,Mid,0,Large (1001-5000),Fintech,Remote,44,8.4,23,5.6,2,9,0,0,1,7.4,8.6,5.1,4.2,8.4,8.4,Severe,1.1723547731328192
23,Male,India,Cybersecurity Engineer,Senior,3,Startup (1-50),SaaS / Cloud,Remote,44,4.5,8,6.7,4,15,0,0,1,4.3,5.1,2.9,4.8,7.5,9.0,Moderate,0.962782656685407
25,Male,Australia,Software Engineer,Senior,4,Large (1001-5000),AI / ML Startup,Remote,43,0.6,5,6.0,4,11,1,0,1,8.9,1.2,1.8,5.9,7.1,3.8,Low,0.9373874746713228
34,Male,Netherlands,Data Analyst,Senior,13,Enterprise (5000+),SaaS / Cloud,Remote,50,3.4,33,5.5,5,10,1,0,1,5.5,1.0,2.0,5.2,5.0,3.9,High,1.1325209250483694
32,Male,USA,Data Scientist,Senior,10,Large (1001-5000),SaaS / Cloud,Remote,41,5.0,13,6.3,1,12,1,1,0,4.9,7.5,8.8,6.1,5.8,4.2,Moderate,1.2282933182228803
36,Female,USA,Backend Developer,Senior,15,Small (51-200),E-commerce,Hybrid,48,2.3,25,7.1,1,12,0,0,0,3.9,7.4,6.7,7.2,5.4,4.6,Moderate,1.1058340675824234
28,Male,Brazil,Product Manager,Manager,7,Small (51-200),SaaS / Cloud,Remote,54,9.4,26,5.4,2,15,1,1,1,6.9,5.6,6.1,4.7,6.3,6.5,Severe,1.2774277152390046
32,Male,USA,ML Engineer,Manager,11,Small (51-200),Consulting,Hybrid,52,6.8,14,5.6,4,17,0,0,1,4.4,6.6,6.7,7.0,6.2,6.3,Severe,1.2410930527150563
35,Female,Singapore,ML Engineer,Junior,10,Large (1001-5000),Cybersecurity,Remote,49,3.0,16,7.4,3,17,0,0,1,4.7,5.5,4.4,3.5,4.6,7.1,High,0.7776997775453761
29,Male,USA,Full Stack Developer,Junior,8,Large (1001-5000),Cybersecurity,Hybrid,55,5.7,22,5.6,0,20,1,0,0,7.9,5.1,3.5,7.8,6.4,4.4,High,0.546224076247456
34,Male,USA,Software Engineer,Principal,13,Small (51-200),Fintech,On-site,54,3.6,12,3.6,2,22,1,0,1,8.3,3.2,5.7,4.3,3.7,3.3,Moderate,1.6789174636459974
26,Female,Brazil,Software Engineer,Lead,2,Startup (1-50),Fintech,Hybrid,51,8.3,8,5.6,4,14,0,0,0,5.7,6.9,3.2,8.8,7.6,3.8,Severe,1.0102558984608525
28,Male,India,Cybersecurity Engineer,Senior,4,Large (1001-5000),SaaS / Cloud,On-site,49,5.6,17,6.1,2,8,0,0,0,7.8,3.8,1.9,4.7,6.0,5.0,Severe,0.962782656685407
28,Female,USA,Product Manager,Senior,7,Small (51-200),SaaS / Cloud,Hybrid,45,3.5,19,4.4,5,0,1,0,1,9.7,8.8,5.9,5.5,6.6,4.9,Severe,1.2246712470815537
23,Male,UK,Data Scientist,Mid,0,Small (51-200),Fintech,Remote,49,2.3,28,5.7,3,14,0,0,0,5.1,5.4,4.1,5.7,8.5,5.4,High,0.9312224689963159
34,Female,UK,Cybersecurity Engineer,Junior,12,Mid (201-1000),Consulting,On-site,47,1.7,9,7.3,6,5,0,0,0,5.6,3.2,3.3,1.7,9.0,3.7,Low,0.6555875674264399
28,Male,USA,Data Scientist,Lead,6,Startup (1-50),Healthcare Tech,Hybrid,42,8.0,5,8.5,3,15,1,0,0,3.7,4.4,7.8,4.2,7.8,6.3,Moderate,1.4400619944929567
31,Female,Australia,Data Analyst,Mid,8,Mid (201-1000),Fintech,On-site,47,4.2,21,7.3,4,20,0,0,0,5.5,3.6,7.1,6.6,4.4,2.0,Low,0.6316794735094067
34,Female,France,Software Engineer,Mid,13,Enterprise (5000+),Fintech,Remote,49,6.8,59,5.2,5,10,1,1,1,3.3,5.2,2.7,3.5,8.3,7.2,Severe,0.8749727225110464
34,Male,India,Data Analyst,Senior,12,Startup (1-50),E-commerce,Hybrid,46,1.8,8,5.6,3,7,1,1,1,6.6,4.6,4.6,4.8,6.6,7.1,Low,0.962782656685407
36,Male,USA,ML Engineer,Manager,15,Large (1001-5000),Cybersecurity,Remote,43,8.2,17,7.3,2,0,0,0,0,7.5,7.9,4.9,5.7,5.2,6.5,Severe,1.5615938549378081
30,Female,Brazil,Software Engineer,Lead,9,Mid (201-1000),Consulting,On-site,55,8.2,19,7.2,3,23,1,0,0,4.2,4.8,6.1,6.0,5.5,7.4,Severe,1.133333398653664
28,Female,India,Software Engineer,Lead,7,Small (51-200),Fintech,On-site,49,7.9,20,5.9,4,6,1,0,0,8.2,5.7,3.3,5.9,7.7,3.3,Moderate,0.962782656685407
30,Female,India,ML Engineer,Mid,9,Mid (201-1000),SaaS / Cloud,On-site,48,1.9,13,7.1,3,8,0,0,0,9.3,5.5,3.0,3.2,6.2,6.1,Low,0.962782656685407
22,Male,Australia,Software Engineer,Lead,0,Startup (1-50),Healthcare Tech,Hybrid,48,6.8,5,7.0,0,11,0,0,1,6.3,6.2,7.4,3.3,7.9,6.9,High,1.2311083039707154
22,Female,UK,Software Engineer,Mid,0,Small (51-200),Consulting,Hybrid,41,1.8,10,6.5,0,4,0,0,1,5.8,8.1,4.1,3.7,7.3,5.0,Severe,0.8881844814594159
22,Male,Australia,Software Engineer,Lead,0,Startup (1-50),SaaS / Cloud,On-site,40,8.7,7,7.2,3,14,0,0,1,7.5,4.7,3.5,5.9,3.7,5.8,Low,1.1047396318457725
24,Female,USA,Full Stack Developer,Manager,0,Startup (1-50),AI / ML Startup,Remote,52,4.2,4,5.7,3,17,0,0,0,6.4,1.0,6.7,4.2,8.7,4.5,High,1.223358902465131
34,Male,Canada,Data Scientist,Mid,10,Large (1001-5000),SaaS / Cloud,Remote,41,2.0,15,5.6,2,3,0,0,1,6.4,3.4,7.5,4.5,4.9,6.3,Moderate,0.9451927338003604
25,Male,USA,DevOps Engineer,Senior,3,Startup (1-50),Healthcare Tech,Hybrid,47,5.2,8,6.7,3,16,0,0,1,5.7,5.0,4.1,6.1,7.5,7.0,Moderate,1.1228508027753712
28,Male,USA,Cybersecurity Engineer,Junior,4,Mid (201-1000),Gaming,Hybrid,50,3.1,21,5.9,5,11,0,0,1,3.6,5.7,1.9,3.6,8.5,5.7,Severe,0.6195316465208279
40,Male,USA,Data Scientist,Senior,17,Startup (1-50),Healthcare Tech,Hybrid,45,2.2,3,5.9,5,6,1,1,0,4.0,7.0,7.9,4.4,5.8,9.8,Moderate,1.06735612342891
29,Male,USA,Software Engineer,Mid,8,Large (1001-5000),Fintech,Hybrid,47,5.4,11,6.4,2,14,0,0,0,5.5,7.0,3.5,5.5,7.2,4.0,High,0.9472328462056855
36,Female,USA,DevOps Engineer,Senior,12,Enterprise (5000+),Enterprise Software,Remote,38,3.3,52,6.4,4,14,1,1,1,7.8,5.9,6.7,4.7,6.8,5.0,Low,1.225362415246203
24,Male,UK,Software Engineer,Lead,1,Startup (1-50),Healthcare Tech,Hybrid,55,7.1,6,6.0,4,7,0,0,0,4.8,6.5,5.7,5.3,6.8,4.2,Severe,1.2423369173036887
30,Female,USA,Backend Developer,Senior,8,Mid (201-1000),E-commerce,Hybrid,46,6.2,24,7.8,3,2,0,0,0,5.4,8.6,7.3,5.4,5.3,2.3,High,1.0897272246568623
24,Female,UK,ML Engineer,Mid,2,Mid (201-1000),Fintech,Hybrid,43,3.0,15,7.1,2,6,0,0,0,7.3,3.7,2.3,6.2,8.6,2.5,Low,0.9694433606804619
29,Male,Germany,Data Scientist,Mid,4,Startup (1-50),Gaming,Hybrid,44,2.8,6,6.9,0,12,1,1,1,2.9,5.3,4.5,5.3,7.5,6.9,High,0.8762823090476038
37,Male,USA,Software Engineer,Senior,13,Enterprise (5000+),AI / ML Startup,Hybrid,48,4.8,20,5.9,2,8,0,0,1,1.0,6.9,4.0,2.9,4.8,5.3,Severe,1.038003348841589
22,Female,Netherlands,Software Engineer,Senior,2,Small (51-200),SaaS / Cloud,On-site,48,2.6,20,5.8,3,19,0,0,0,6.1,8.3,6.9,5.2,6.6,4.7,Low,0.9244694548037647
34,Male,USA,Frontend Developer,Lead,13,Enterprise (5000+),SaaS / Cloud,Remote,44,4.9,39,5.5,2,15,1,0,1,6.4,4.8,6.8,6.9,3.6,4.5,Low,1.439187098082008
33,Male,Singapore,ML Engineer,Mid,9,Startup (1-50),Enterprise Software,Remote,48,3.4,4,6.2,4,11,0,0,1,7.1,5.0,3.9,5.4,7.0,5.9,Moderate,0.7925466315962575
27,Male,Canada,Software Engineer,Lead,3,Mid (201-1000),E-commerce,Remote,44,5.9,19,5.0,0,8,0,0,0,6.9,7.3,7.0,5.7,2.7,10.0,Severe,1.2910895431241756
22,Female,India,Data Scientist,Senior,0,Startup (1-50),E-commerce,Hybrid,55,4.2,8,6.1,4,13,0,0,0,3.8,7.4,6.4,5.9,4.1,3.5,Severe,0.962782656685407
32,Male,USA,Product Manager,Mid,8,Mid (201-1000),Fintech,Hybrid,57,4.6,19,4.9,5,22,0,0,1,5.9,6.9,7.9,4.4,8.7,2.7,Severe,0.9506974359930415
27,Male,USA,Data Analyst,Mid,9,Small (51-200),Consulting,On-site,41,2.5,21,7.2,2,6,0,0,1,5.5,6.1,3.9,6.5,2.2,3.7,Low,0.6842214871463576
33,Male,USA,Frontend Developer,Junior,10,Enterprise (5000+),Fintech,Remote,46,2.8,51,4.7,2,14,0,0,1,6.3,1.5,1.0,7.6,7.5,6.5,High,0.5569415572815747
31,Male,USA,Backend Developer,Senior,9,Mid (201-1000),SaaS / Cloud,Remote,48,3.9,26,5.5,0,20,1,0,1,10.0,3.4,7.0,7.9,5.2,7.2,Low,1.2380484132049556
42,Male,Netherlands,Full Stack Developer,Mid,21,Small (51-200),SaaS / Cloud,On-site,40,6.6,16,5.8,3,20,0,0,1,5.6,2.5,6.1,6.5,3.0,6.1,High,0.938084172204619
29,Male,Canada,Frontend Developer,Junior,9,Startup (1-50),Cybersecurity,Remote,44,3.4,5,5.8,4,9,1,1,1,6.0,4.0,6.6,5.3,9.8,8.0,Moderate,0.4641490155156654
24,Male,India,DevOps Engineer,Mid,0,Enterprise (5000+),AI / ML Startup,Hybrid,37,2.1,36,5.9,2,9,1,0,1,4.7,4.7,1.0,9.2,7.8,5.5,Low,0.962782656685407
32,Male,USA,DevOps Engineer,Junior,11,Mid (201-1000),Enterprise Software,Hybrid,44,1.1,7,5.7,4,15,1,0,0,3.3,5.4,2.4,6.4,8.6,5.6,Low,0.6148859465786917
33,Female,Australia,Frontend Developer,Senior,10,Mid (201-1000),Fintech,Remote,42,2.6,20,5.2,5,18,0,0,1,4.3,4.9,3.7,6.0,6.8,4.0,Low,0.9961527117317409
41,Male,USA,Software Engineer,Lead,19,Startup (1-50),Consulting,Remote,44,4.6,3,6.9,1,8,0,0,1,4.0,3.6,6.6,5.8,8.0,7.7,High,1.1741109834928418
37,Male,UK,ML Engineer,Manager,16,Small (51-200),AI / ML Startup,Remote,45,7.7,21,7.0,2,7,0,0,1,7.3,3.6,4.3,3.5,7.1,8.0,Moderate,1.4236154026851948
33,Non-binary,Brazil,Frontend Developer,Junior,12,Large (1001-5000),Cybersecurity,Remote,41,2.7,10,5.9,4,12,0,0,1,8.3,7.9,2.5,6.1,3.7,2.8,Moderate,0.8398328228782779
41,Male,USA,Frontend Developer,Senior,16,Large (1001-5000),E-commerce,Hybrid,45,5.6,22,5.0,5,13,0,0,1,7.5,6.1,5.5,5.4,4.1,6.5,Low,1.0576010284468345
23,Female,India,DevOps Engineer,Mid,0,Mid (201-1000),Social Media / AdTech,On-site,52,0.0,14,5.4,5,8,0,0,1,3.9,6.3,2.4,8.1,6.5,6.3,High,0.962782656685407
27,Male,Brazil,Data Analyst,Senior,4,Mid (201-1000),AI / ML Startup,Remote,50,4.5,22,7.1,3,17,0,0,0,7.5,8.7,3.5,3.2,3.7,2.6,Moderate,0.8398328228782779
25,Male,Australia,Software Engineer,Principal,2,Enterprise (5000+),AI / ML Startup,Hybrid,55,3.9,31,6.7,6,11,0,0,1,6.1,5.4,6.3,4.8,8.3,4.9,Moderate,1.7334340186120702
28,Female,USA,Full Stack Developer,Mid,5,Enterprise (5000+),Consulting,On-site,48,3.7,26,7.8,1,11,1,0,1,8.3,5.5,7.0,4.3,3.7,8.9,High,1.0512142846469108
22,Female,USA,Data Scientist,Mid,0,Startup (1-50),Social Media / AdTech,Remote,46,5.9,8,7.0,3,14,0,0,1,4.9,7.5,6.3,5.8,7.7,7.3,Moderate,0.7426995632541531
35,Male,USA,Data Scientist,Lead,15,Large (1001-5000),E-commerce,Hybrid,43,5.6,21,5.6,2,19,0,0,1,4.5,6.9,7.6,7.6,6.0,6.0,Moderate,1.237059780260584
29,Male,Australia,Software Engineer,Junior,10,Large (1001-5000),Healthcare Tech,Hybrid,42,5.1,14,6.8,3,20,1,0,1,2.7,2.7,4.7,2.9,5.9,1.0,High,0.6042517941403709
22,Female,USA,QA Engineer,Junior,0,Large (1001-5000),AI / ML Startup,Remote,36,5.2,17,5.0,1,9,1,1,0,10.0,7.7,6.5,4.7,7.1,8.4,Low,0.4208776674508692
